ㄅㄚ	ba
ㄒㄧㄤˊ	xiang2
ㄒㄧㄤˇ	xiang3
ㄒㄧㄤˋ	xiang4
ㄒㄧㄥ	xing
ㄒㄧㄥˊ	xing2
ㄒㄧㄥˇ	xing3
ㄒㄧㄥˋ	xing4
ㄒㄩ	xu
ㄒㄩˊ	xu2
ㄒㄩˇ	xu3
ㄒㄩˋ	xu4
ㄒㄩㄝ	xue
ㄒㄩㄝˊ	xue2
ㄒㄩㄝˇ	xue3
ㄒㄩㄝˋ	xue4
ㄒㄩㄢ	xuan
ㄒㄩㄢˊ	xuan2
ㄒㄩㄢˇ	xuan3
ㄒㄩㄢˋ	xuan4
ㄒㄩㄣ	xun
ㄒㄩㄣˊ	xun2
ㄒㄩㄣˋ	xun4
ㄒㄩㄥ	xiong
ㄒㄩㄥˊ	xiong2
ㄒㄩㄥˇ	xiong3
ㄒㄩㄥˋ	xiong4
ㄓ	zhi
ㄓˊ	zhi2
ㄓˇ	zhi3
ㄓˋ	zhi4
ㄓㄚ	zha
ㄓㄚˊ	zha2
ㄓㄚˇ	zha3
ㄓㄚˋ	zha4
ㄓㄜ	zhe
ㄓㄜˊ	zhe2
ㄓㄜˇ	zhe3
ㄓㄜˋ	zhe4
˙ㄓㄜ	zhe5
ㄓㄞ	zhai
ㄓㄞˊ	zhai2
ㄓㄞˇ	zhai3
ㄓㄞˋ	zhai4
ㄓㄟˋ	zhei4
ㄓㄠ	zhao
ㄓㄠˊ	zhao2
ㄓㄠˇ	zhao3
ㄓㄠˋ	zhao4
ㄓㄡ	zhou
ㄓㄡˊ	zhou2
ㄓㄡˇ	zhou3
ㄓㄡˋ	zhou4
ㄓㄢ	zhan
ㄓㄢˇ	zhan3
ㄓㄢˋ	zhan4
ㄓㄣ	zhen
ㄓㄣˊ	zhen2
ㄓㄣˇ	zhen3
ㄓㄣˋ	zhen4
ㄓㄤ	zhang
ㄓㄤˇ	zhang3
ㄓㄤˋ	zhang4
ㄓㄥ	zheng
ㄓㄥˇ	zheng3
ㄓㄥˋ	zheng4
ㄓㄨ	zhu
ㄓㄨˊ	zhu2
ㄓㄨˇ	zhu3
ㄓㄨˋ	zhu4
ㄓㄨㄚ	zhua
ㄓㄨㄚˇ	zhua3
ㄓㄨㄛ	zhuo
ㄓㄨㄛˊ	zhuo2
ㄓㄨㄛˋ	zhuo4
ㄓㄨㄞ	zhuai
ㄓㄨㄞˇ	zhuai3
ㄓㄨㄞˋ	zhuai4
ㄓㄨㄟ	zhui
ㄓㄨㄟˇ	zhui3
ㄓㄨㄟˋ	zhui4
ㄓㄨㄢ	zhuan
ㄓㄨㄢˇ	zhuan3
ㄓㄨㄢˋ	zhuan4
ㄓㄨㄣ	zhun
ㄓㄨㄣˇ	zhun3
ㄓㄨㄣˋ	zhun4
ㄓㄨㄤ	zhuang
ㄓㄨㄤˇ	zhuang3
ㄓㄨㄤˋ	zhuang4
ㄓㄨㄥ	zhong
ㄓㄨㄥˇ	zhong3
ㄓㄨㄥˋ	zhong4
ㄔ	chi
ㄔˊ	chi2
ㄔˇ	chi3
ㄔˋ	chi4
ㄔㄚ	cha
ㄔㄚˊ	cha2
ㄔㄚˇ	cha3
ㄔㄚˋ	cha4
ㄔㄜ	che
ㄔㄜˇ	che3
ㄔㄜˋ	che4
ㄔㄞ	chai
ㄔㄞˊ	chai2
ㄔㄞˇ	chai3
ㄔㄞˋ	chai4
ㄔㄠ	chao
ㄔㄠˊ	chao2
ㄔㄠˇ	chao3
ㄔㄠˋ	chao4
ㄔㄡ	chou
ㄔㄡˊ	chou2
ㄔㄡˇ	chou3
ㄔㄡˋ	chou4
ㄔㄢ	chan
ㄔㄢˊ	chan2
ㄔㄢˇ	chan3
ㄔㄢˋ	chan4
ㄔㄣ	chen
ㄔㄣˊ	chen2
ㄔㄣˇ	chen3
ㄔㄣˋ	chen4
˙ㄔㄣ	chen5
ㄔㄤ	chang
ㄔㄤˊ	chang2
ㄔㄤˇ	chang3
ㄔㄤˋ	chang4
ㄔㄥ	cheng
ㄔㄥˊ	cheng2
ㄔㄥˇ	cheng3
ㄔㄥˋ	cheng4
ㄔㄨ	chu
ㄔㄨˊ	chu2
ㄔㄨˇ	chu3
ㄔㄨˋ	chu4
ㄔㄨㄚ	chua
ㄔㄨㄚˇ	chua3
ㄔㄨㄚˋ	chua4
ㄔㄨㄛ	chuo
ㄔㄨㄛˋ	chuo4
ㄔㄨㄞ	chuai
ㄔㄨㄞˊ	chuai2
ㄔㄨㄞˇ	chuai3
ㄔㄨㄞˋ	chuai4
ㄔㄨㄟ	chui
ㄔㄨㄟˊ	chui2
ㄔㄨㄟˇ	chui3
ㄔㄨㄟˋ	chui4
ㄔㄨㄢ	chuan
ㄔㄨㄢˊ	chuan2
ㄔㄨㄢˇ	chuan3
ㄔㄨㄢˋ	chuan4
ㄔㄨㄣ	chun
ㄔㄨㄣˊ	chun2
ㄔㄨㄣˇ	chun3
ㄔㄨㄤ	chuang
ㄔㄨㄤˊ	chuang2
ㄔㄨㄤˇ	chuang3
ㄔㄨㄤˋ	chuang4
ㄔㄨㄥ	chong
ㄔㄨㄥˊ	chong2
ㄔㄨㄥˇ	chong3
ㄔㄨㄥˋ	chong4
ㄕ	shi
ㄕˊ	shi2
ㄕˇ	shi3
ㄕˋ	shi4
˙ㄕ	shi5
ㄕㄚ	sha
ㄕㄚˊ	sha2
ㄕㄚˇ	sha3
ㄕㄚˋ	sha4
˙ㄕㄚ	sha5
ㄕㄜ	she
ㄕㄜˊ	she2
ㄕㄜˇ	she3
ㄕㄜˋ	she4
ㄕㄞ	shai
ㄕㄞˇ	shai3
ㄕㄞˋ	shai4
ㄕㄟˊ	shei2
ㄕㄠ	shao
ㄕㄠˊ	shao2
ㄕㄠˇ	shao3
ㄕㄠˋ	shao4
ㄕㄡ	shou
ㄕㄡˊ	shou2
ㄕㄡˇ	shou3
ㄕㄡˋ	shou4
ㄕㄢ	shan
ㄕㄢˊ	shan2
ㄕㄢˇ	shan3
ㄕㄢˋ	shan4
ㄕㄣ	shen
ㄕㄣˊ	shen2
ㄕㄣˇ	shen3
ㄕㄣˋ	shen4
ㄕㄤ	shang
ㄕㄤˇ	shang3
ㄕㄤˋ	shang4
˙ㄕㄤ	shang5
ㄕㄥ	sheng
ㄕㄥˊ	sheng2
ㄕㄥˇ	sheng3
ㄕㄥˋ	sheng4
ㄕㄨ	shu
ㄕㄨˊ	shu2
ㄕㄨˇ	shu3
ㄕㄨˋ	shu4
ㄕㄨㄚ	shua
ㄕㄨㄚˇ	shua3
ㄕㄨㄚˋ	shua4
ㄕㄨㄛ	shuo
ㄕㄨㄛˋ	shuo4
ㄕㄨㄞ	shuai
ㄕㄨㄞˇ	shuai3
ㄕㄨㄞˋ	shuai4
ㄕㄨㄟ	shui
ㄕㄨㄟˊ	shui2
ㄕㄨㄟˇ	shui3
ㄕㄨㄟˋ	shui4
ㄕㄨㄢ	shuan
ㄕㄨㄢˋ	shuan4
ㄕㄨㄣˇ	shun3
ㄕㄨㄣˋ	shun4
ㄕㄨㄤ	shuang
ㄕㄨㄤˊ	shuang2
ㄕㄨㄤˇ	shuang3
ㄕㄨㄤˋ	shuang4
ㄖˋ	ri4
ㄖㄜˇ	re3
ㄖㄜˋ	re4
ㄖㄠˊ	rao2
ㄖㄠˇ	rao3
ㄖㄠˋ	rao4
ㄖㄡˊ	rou2
ㄖㄡˇ	rou3
ㄖㄡˋ	rou4
ㄖㄢˊ	ran2
ㄖㄢˇ	ran3
ㄖㄢˋ	ran4
ㄖㄣˊ	ren2
ㄖㄣˇ	ren3
ㄖㄣˋ	ren4
ㄖㄤ	rang
ㄖㄤˊ	rang2
ㄖㄤˇ	rang3
ㄖㄤˋ	rang4
ㄖㄥ	reng
ㄖㄥˊ	reng2
ㄖㄥˇ	reng3
ㄖㄥˋ	reng4
ㄖㄨˊ	ru2
ㄖㄨˇ	ru3
ㄖㄨˋ	ru4
ㄖㄨㄛˊ	ruo2
ㄖㄨㄛˋ	ruo4
ㄖㄨㄟˊ	rui2
ㄖㄨㄟˇ	rui3
ㄖㄨㄟˋ	rui4
ㄖㄨㄢˊ	ruan2
ㄖㄨㄢˇ	ruan3
ㄖㄨㄢˋ	ruan4
ㄖㄨㄣˊ	run2
ㄖㄨㄣˇ	run3
ㄖㄨㄣˋ	run4
ㄖㄨㄥˊ	rong2
ㄖㄨㄥˇ	rong3
ㄖㄨㄥˋ	rong4
ㄗ	zi
ㄗˊ	zi2
ㄗˇ	zi3
ㄗˋ	zi4
˙ㄗ	zi5
ㄗㄚ	za
ㄗㄚˊ	za2
ㄗㄚˇ	za3
ㄗㄜˊ	ze2
ㄗㄜˇ	ze3
ㄗㄜˋ	ze4
ㄗㄞ	zai
ㄗㄞˇ	zai3
ㄗㄞˋ	zai4
ㄗㄟˊ	zei2
ㄗㄠ	zao
ㄗㄠˊ	zao2
ㄗㄠˇ	zao3
ㄗㄠˋ	zao4
ㄗㄡ	zou
ㄗㄡˇ	zou3
ㄗㄡˋ	zou4
ㄗㄢ	zan
ㄗㄢˊ	zan2
ㄗㄢˇ	zan3
ㄗㄢˋ	zan4
ㄗㄣ	zen
ㄗㄣˇ	zen3
ㄗㄣˋ	zen4
ㄗㄤ	zang
ㄗㄤˇ	zang3
ㄗㄤˋ	zang4
ㄗㄥ	zeng
ㄗㄥˇ	zeng3
ㄗㄥˋ	zeng4
ㄗㄨ	zu
ㄗㄨˊ	zu2
ㄗㄨˇ	zu3
ㄗㄨˋ	zu4
ㄗㄨㄛ	zuo
ㄗㄨㄛˊ	zuo2
ㄗㄨㄛˇ	zuo3
ㄗㄨㄛˋ	zuo4
˙ㄗㄨㄛ	zuo5
ㄗㄨㄟ	zui
ㄗㄨㄟˇ	zui3
ㄗㄨㄟˋ	zui4
ㄗㄨㄢ	zuan
ㄗㄨㄢˇ	zuan3
ㄗㄨㄢˋ	zuan4
ㄗㄨㄣ	zun
ㄗㄨㄣˇ	zun3
ㄗㄨㄣˋ	zun4
ㄗㄨㄥ	zong
ㄗㄨㄥˇ	zong3
ㄗㄨㄥˋ	zong4
ㄘ	ci
ㄘˊ	ci2
ㄘˇ	ci3
ㄘˋ	ci4
ㄘㄚ	ca
ㄘㄚˇ	ca3
ㄘㄚˋ	ca4
ㄘㄜˋ	ce4
ㄘㄞ	cai
ㄘㄞˊ	cai2
ㄘㄞˇ	cai3
ㄘㄞˋ	cai4
ㄘㄠ	cao
ㄘㄠˊ	cao2
ㄘㄠˇ	cao3
ㄘㄠˋ	cao4
ㄘㄡ	cou
ㄘㄡˊ	cou2
ㄘㄡˇ	cou3
ㄘㄡˋ	cou4
ㄘㄢ	can
ㄘㄢˊ	can2
ㄘㄢˇ	can3
ㄘㄢˋ	can4
ㄘㄣ	cen
ㄘㄣˊ	cen2
ㄘㄤ	cang
ㄘㄤˊ	cang2
ㄘㄤˇ	cang3
ㄘㄤˋ	cang4
ㄘㄥ	ceng
ㄘㄥˊ	ceng2
ㄘㄥˇ	ceng3
ㄘㄥˋ	ceng4
ㄘㄨ	cu
ㄘㄨˊ	cu2
ㄘㄨˇ	cu3
ㄘㄨˋ	cu4
ㄘㄨㄛ	cuo
ㄘㄨㄛˊ	cuo2
ㄘㄨㄛˇ	cuo3
ㄘㄨㄛˋ	cuo4
ㄘㄨㄟ	cui
ㄘㄨㄟˇ	cui3
ㄘㄨㄟˋ	cui4
ㄘㄨㄢ	cuan
ㄘㄨㄢˊ	cuan2
ㄘㄨㄢˇ	cuan3
ㄘㄨㄢˋ	cuan4
ㄘㄨㄣ	cun
ㄘㄨㄣˊ	cun2
ㄘㄨㄣˇ	cun3
ㄘㄨㄣˋ	cun4
ㄘㄨㄥ	cong
ㄘㄨㄥˊ	cong2
ㄘㄨㄥˇ	cong3
ㄘㄨㄥˋ	cong4
ㄙ	si
ㄙˇ	si3
ㄙˋ	si4
ㄙㄚ	sa
ㄙㄚˇ	sa3
ㄙㄚˋ	sa4
˙ㄙㄚ	sa5
ㄙㄜ	se
ㄙㄜˋ	se4
ㄙㄞ	sai
ㄙㄞˊ	sai2
ㄙㄞˇ	sai3
ㄙㄞˋ	sai4
ㄙㄟ	sei
ㄙㄠ	sao
ㄙㄠˇ	sao3
ㄙㄠˋ	sao4
ㄙㄡ	sou
ㄙㄡˇ	sou3
ㄙㄡˋ	sou4
ㄙㄢ	san
ㄙㄢˇ	san3
ㄙㄢˋ	san4
ㄙㄣ	sen
ㄙㄣˇ	sen3
ㄙㄤ	sang
ㄙㄤˇ	sang3
ㄙㄤˋ	sang4
ㄙㄥ	seng
ㄙㄥˋ	seng4
ㄙㄨ	su
ㄙㄨˊ	su2
ㄙㄨˇ	su3
ㄙㄨˋ	su4
ㄙㄨㄛ	suo
ㄙㄨㄛˊ	suo2
ㄙㄨㄛˇ	suo3
ㄙㄨㄛˋ	suo4
ㄙㄨㄟ	sui
ㄙㄨㄟˊ	sui2
ㄙㄨㄟˇ	sui3
ㄙㄨㄟˋ	sui4
ㄙㄨㄢ	suan
ㄙㄨㄢˇ	suan3
ㄙㄨㄢˋ	suan4
ㄙㄨㄣ	sun
ㄙㄨㄣˇ	sun3
ㄙㄨㄣˋ	sun4
ㄙㄨㄥ	song
ㄙㄨㄥˊ	song2
ㄙㄨㄥˇ	song3
ㄙㄨㄥˋ	song4
ㄚ	a
ㄚˊ	a2
ㄚˋ	a4
˙ㄚ	a5
ㄛ	o
ㄛˊ	o2
ㄛˇ	o3
ㄜ	e
ㄜˊ	e2
ㄜˇ	e3
ㄜˋ	e4
ㄝˊ	eh2
ㄝˇ	eh3
ㄝˋ	eh4
˙ㄝ	eh5
ㄞ	ai
ㄞˊ	ai2
ㄞˇ	ai3
ㄞˋ	ai4
ㄟˋ	ei4
ㄠ	ao
ㄠˊ	ao2
ㄠˇ	ao3
ㄠˋ	ao4
ㄡ	ou
ㄡˊ	ou2
ㄡˇ	ou3
ㄡˋ	ou4
˙ㄡ	ou5
ㄢ	an
ㄢˊ	an2
ㄢˇ	an3
ㄢˋ	an4
ㄣ	en
ㄣˊ	en2
ㄣˇ	en3
ㄣˋ	en4
˙ㄣ	en5
ㄤ	ang
ㄤˊ	ang2
ㄤˇ	ang3
ㄤˋ	ang4
ㄥ	eng
ㄥˋ	eng4
ㄦ	er
ㄦˊ	er2
ㄦˇ	er3
ㄦˋ	er4
˙ㄦ	er5
ㄧ	yi
ㄧˊ	yi2
ㄧˇ	yi3
ㄧˋ	yi4
ㄧㄚ	ya
ㄧㄚˊ	ya2
ㄧㄚˇ	ya3
ㄧㄚˋ	ya4
˙ㄧㄚ	ya5
ㄧㄛ	yo
˙ㄧㄛ	yo5
ㄧㄝ	ye
ㄧㄝˊ	ye2
ㄧㄝˇ	ye3
ㄧㄝˋ	ye4
˙ㄧㄝ	ye5
ㄧㄞˊ	yai2
ㄧㄠ	yao
ㄧㄠˊ	yao2
ㄧㄠˇ	yao3
ㄧㄠˋ	yao4
ㄧㄡ	you
ㄧㄡˊ	you2
ㄧㄡˇ	you3
ㄧㄡˋ	you4
ㄧㄢ	yan
ㄧㄢˊ	yan2
ㄧㄢˇ	yan3
ㄧㄢˋ	yan4
ㄧㄣ	yin
ㄧㄣˊ	yin2
ㄧㄣˇ	yin3
ㄧㄣˋ	yin4
ㄧㄤ	yang
ㄧㄤˊ	yang2
ㄧㄤˇ	yang3
ㄧㄤˋ	yang4
ㄧㄥ	ying
ㄧㄥˊ	ying2
ㄧㄥˇ	ying3
ㄧㄥˋ	ying4
ㄨ	wu
ㄨˊ	wu2
ㄨˇ	wu3
ㄨˋ	wu4
ㄨㄚ	wa
ㄨㄚˊ	wa2
ㄨㄚˇ	wa3
ㄨㄚˋ	wa4
˙ㄨㄚ	wa5
ㄨㄛ	wo
ㄨㄛˇ	wo3
ㄨㄛˋ	wo4
ㄨㄞ	wai
ㄨㄞˇ	wai3
ㄨㄞˋ	wai4
ㄨㄟ	wei
ㄨㄟˊ	wei2
ㄨㄟˇ	wei3
ㄨㄟˋ	wei4
ㄨㄢ	wan
ㄨㄢˊ	wan2
ㄨㄢˇ	wan3
ㄨㄢˋ	wan4
ㄨㄣ	wen
ㄨㄣˊ	wen2
ㄨㄣˇ	wen3
ㄨㄣˋ	wen4
ㄨㄤ	wang
ㄨㄤˊ	wang2
ㄨㄤˇ	wang3
ㄨㄤˋ	wang4
ㄨㄥ	weng
ㄨㄥˇ	weng3
ㄨㄥˋ	weng4
ㄩ	yu
ㄩˊ	yu2
ㄩˇ	yu3
ㄩˋ	yu4
ㄩㄝ	yue
ㄩㄝˇ	yue3
ㄩㄝˋ	yue4
ㄩㄢ	yuan
ㄩㄢˊ	yuan2
ㄩㄢˇ	yuan3
ㄩㄢˋ	yuan4
ㄩㄣ	yun
ㄩㄣˊ	yun2
ㄩㄣˇ	yun3
ㄩㄣˋ	yun4
ㄩㄥ	yong
ㄩㄥˊ	yong2
ㄩㄥˇ	yong3
ㄩㄥˋ	yong4
