ㄅㄚ	ba
ㄊㄡˊ	tou2
ㄊㄡˇ	tou3
ㄊㄡˋ	tou4
˙ㄊㄡ	tou5
ㄊㄢ	tan
ㄊㄢˊ	tan2
ㄊㄢˇ	tan3
ㄊㄢˋ	tan4
ㄊㄤ	tang
ㄊㄤˊ	tang2
ㄊㄤˇ	tang3
ㄊㄤˋ	tang4
ㄊㄥ	teng
ㄊㄥˊ	teng2
ㄊㄥˋ	teng4
ㄊㄧ	ti
ㄊㄧˊ	ti2
ㄊㄧˇ	ti3
ㄊㄧˋ	ti4
ㄊㄧㄝ	tie
ㄊㄧㄝˊ	tie2
ㄊㄧㄝˇ	tie3
ㄊㄧㄝˋ	tie4
ㄊㄧㄠ	tiao
ㄊㄧㄠˊ	tiao2
ㄊㄧㄠˇ	tiao3
ㄊㄧㄠˋ	tiao4
ㄊㄧㄢ	tian
ㄊㄧㄢˊ	tian2
ㄊㄧㄢˇ	tian3
ㄊㄧㄢˋ	tian4
ㄊㄧㄥ	ting
ㄊㄧㄥˊ	ting2
ㄊㄧㄥˇ	ting3
ㄊㄧㄥˋ	ting4
ㄊㄨ	tu
ㄊㄨˊ	tu2
ㄊㄨˇ	tu3
ㄊㄨˋ	tu4
ㄊㄨㄛ	tuo
ㄊㄨㄛˊ	tuo2
ㄊㄨㄛˇ	tuo3
ㄊㄨㄛˋ	tuo4
ㄊㄨㄟ	tui
ㄊㄨㄟˊ	tui2
ㄊㄨㄟˇ	tui3
ㄊㄨㄟˋ	tui4
ㄊㄨㄢ	tuan
ㄊㄨㄢˊ	tuan2
ㄊㄨㄢˇ	tuan3
ㄊㄨㄢˋ	tuan4
ㄊㄨㄣ	tun
ㄊㄨㄣˊ	tun2
ㄊㄨㄣˇ	tun3
ㄊㄨㄣˋ	tun4
ㄊㄨㄥ	tong
ㄊㄨㄥˊ	tong2
ㄊㄨㄥˇ	tong3
ㄊㄨㄥˋ	tong4
ㄋㄚ	na
ㄋㄚˊ	na2
ㄋㄚˇ	na3
ㄋㄚˋ	na4
˙ㄋㄚ	na5
ㄋㄜˋ	ne4
˙ㄋㄜ	ne5
ㄋㄞˊ	nai2
ㄋㄞˇ	nai3
ㄋㄞˋ	nai4
ㄋㄟˊ	nei2
ㄋㄟˇ	nei3
ㄋㄟˋ	nei4
ㄋㄠ	nao
ㄋㄠˊ	nao2
ㄋㄠˇ	nao3
ㄋㄠˋ	nao4
ㄋㄡˊ	nou2
ㄋㄡˇ	nou3
ㄋㄡˋ	nou4
ㄋㄢ	nan
ㄋㄢˊ	nan2
ㄋㄢˇ	nan3
